State Name,Hotel Price,Self Allowance,Travel Price,Food Cost,Total Cost
Kerala,6990.808570098726,3238.163570272436,10965.113532637817,7505.636842489861,28699.72251549884
Goa,7680.481831720602,3958.363755259462,17645.277946547176,13421.122498823437,42705.246032350675
Sikkim,4547.638081431639,2051.2841316128715,7867.644757277866,11980.66529932522,26447.232269647597
Kerala,7568.975098534744,2882.4956552523126,11736.2828616716,5710.18203730575,27897.935652764405
Kerala,6923.655862769396,2960.391237571714,7202.847093170417,11781.561060536524,28868.45525404805
Goa,5813.084696724456,3797.645561793801,11092.642103096214,11981.044268789265,32684.416630403735
Sikkim,7554.635922469212,3160.3447384546644,9269.809834777112,11813.678334153748,31798.468829854737
Sikkim,7112.686214615845,3067.205093453757,7195.749083168741,8255.066622684993,25630.707013923336
Kerala,8248.99956645962,3415.810185586889,11081.813125242363,11431.715513999616,34178.33839128849
Rajasthan,7628.5975419418,4029.7665230842567,14144.72164156332,6436.75848018794,32239.844186777314
Kerala,6567.07597967895,3825.971477432187,6374.745561714429,7846.95335054807,24614.746369373635
Kerala,5591.215181453094,3636.246152452989,11300.788577916364,5969.115764258469,26497.365676080917
Kerala,8163.642416770066,4111.0473919098695,8689.914332216533,12327.401934353493,33292.006075249956
Kerala,7830.319447502042,2236.4651653527235,9062.594934025394,11218.817350902857,30348.196897783015
Goa,5226.093350530947,3391.5559713670923,16265.925110932101,13820.379369967763,38703.9538027979
Sikkim,3131.83487248626,2015.1257499562842,9631.913033650435,11565.75662003726,26344.63027613024
Goa,6882.316834390248,4294.949428309206,10191.16094429764,7680.8278889582825,29049.255095955377
Goa,9052.766653909164,4796.061097899974,14768.434683178171,10084.780740106668,38702.043175093975
Goa,9936.380646574722,3486.9645931525984,16877.220424305608,7568.279112352017,37868.84477638495
Kerala,4252.084455517641,4054.069089592613,10336.241746189371,6975.551710850201,25617.947002149827
Rajasthan,6970.653576760676,2620.5347805791216,12540.259452296865,7605.560439263707,29737.00824890037
Sikkim,4904.454283155108,3868.8720536110286,5672.175647040609,8283.750477333051,22729.252461139797
Rajasthan,8849.571989073016,3203.245374479269,9395.16470697345,7879.935172175498,29327.917242701234
Goa,9210.594615678543,3202.841656898433,13587.155254170135,7807.824854542088,33808.4163812892
Goa,9191.64352355569,3971.743518372651,18044.37207679505,8339.928712752862,39547.68783147626
Rajasthan,6343.465798974852,3013.553135441016,9230.078979316424,7030.928944864636,25618.02685859693
Rajasthan,6074.0975116883255,3069.7458039238454,8685.639710937625,12811.537585386088,30641.020611935885
Rajasthan,5367.0353596535315,3114.579929852573,14659.58415230477,11315.047548429317,34456.24699024019
Goa,5281.877483254636,4606.051795665327,10088.63285113469,14742.091722156496,34718.65385221115
Goa,9323.611881275265,4078.322553350509,19978.20855681978,10517.923892063269,43898.06688350882
Sikkim,7064.505045650388,2622.6153983120075,8384.106494286978,6948.579371638596,25019.80630988797
Sikkim,7998.588366430653,3220.667566621837,9142.346497245584,10588.052380464307,30949.654810762382
Goa,9983.184185369526,4432.301348446387,12946.193963461932,9610.031344329174,36971.71084160702
Rajasthan,6777.158528013137,3045.2480014670673,7114.52222133648,8095.683615937438,25032.612366754118
Rajasthan,7844.937075902552,3327.098203050703,12902.956148492241,7627.541945454818,31702.533372900314
Sikkim,7723.82864941214,2243.7721866738952,9170.72298500338,5907.752847569647,25046.076668659065
Goa,9248.236953387057,3362.2986990693607,17404.76131953519,9051.704488134128,39067.001460125735
Sikkim,4236.740508715988,3362.2357079299654,5714.251436504193,7487.238239317214,20800.46589246736
Sikkim,5252.720676550467,2362.8766953912536,8767.139611284845,9717.959457020112,26100.696440246677
Kerala,4145.797075757475,3250.3267673341206,10613.536692645845,5937.953895536161,23947.6144312736
Kerala,8270.255136293612,3618.092523444865,9951.24309402033,6973.5485776574005,28813.139331416205
Kerala,6530.8731722544,2413.753846189488,10596.695596773518,11163.165482041735,30704.488097259138
Rajasthan,5143.214027517313,3634.6244392578074,13767.371517421856,7028.453465086395,29573.66344928337
Goa,8358.503422029284,3513.1255674027275,16136.041142374585,9741.161172180173,37748.83130398677
Goa,8090.641202289479,4925.853750475159,10886.047139696791,13917.27137486512,37819.81346732655
Goa,6790.813590164203,3967.0912934398493,14876.278096672107,8239.402489147542,33873.585469423706
Goa,5567.787960998145,4611.985099550317,10776.49334671605,7661.894684945519,28618.16109221003
Kerala,6857.865977963998,3300.4530843125235,8445.258186194586,8891.765965560076,27495.34321403118
Rajasthan,6601.538504518967,2586.8250657096382,10256.85191300502,8116.936578949755,27562.152062183377
Rajasthan,7861.5919586781965,3766.3027511880446,7528.078753121933,9943.858551386978,29099.832014375155
